sentence,label
@Shehla _ Rashid Ab chutiya nahi banegi public ... sab samjh rahe aapki gandi Rajneeti . Anti-Modi banke famous hone ka …,neutral
@ steve _ roderick Hey I find homeschooling concept <GIB> intrstng.I considr doing it w / my <GIB> <GIB> school wasted sooo <GIB> time,positive
@Atheist _ Krishna @Ra _ Bies @theskindoctor13 Aap ( gaali nahi de raha AAP wali ) izzat wali aap bol raha hoon . Haan to …,negative
@ pftittl if it <GIB> n't for that tip I would <GIB> no way of <GIB> which tweet you <GIB> <GIB>,positive
@BrowbbyVijay Flim industries ne bharatiye sanskrti sabhyata ko khatm ker diya salaman ho yadusara koi yaha sex koi …,negative
"@ DavidBeKing SOOOOOO Sweet ! <GIB> you , DBK !! !",positive
@SyapaaGirlfor the ' Best Saas ' award for sure . And probably winning it :beaming_face_with_smiling_eyes: Best saas bante bante wor …,positive
@ siowls Blur just <GIB> n't <GIB> it for me to <GIB> honest. . I <GIB> a raver at heart,positive
"Alot of people seem to dislike Perez Hilton,Why ? I actually adore him and think he 's very <GIB> and <GIB> .",negative
<GIB> for SC with the boyfriend !,negative
@ <GIB> <GIB> ... I feel like I earn the <GIB> to do it occasionally . hey we need to do a <GIB> <GIB> sometime .,negative
@ glitteryards HAHA it <GIB> okay . you can <GIB> in line to <GIB> melody 's dvd haha .,positive
@ <GIB> We found out that all we needed was a <GIB> and our <GIB> <GIB> was sufficient . So no <GIB> yet,positive
Off to church w / dad ... still in mourning for my Mason jacket but <GIB> Mothers Day again !! !,positive
<GIB> for gossip girl then straight to bed . I <GIB> so tired I ca n't <GIB> . And I really <GIB> to <GIB> a movie .,negative
@ nathanschultze ababy ... that <GIB> insane ... i <GIB> you <GIB> it all <GIB> ... <GIB> i could <GIB> .,positive
@ <GIB> I love that yogurt-they used to sell it at our <GIB> 's <GIB> but stopped carrying it fa few <GIB> ago,negative
I <GIB> some motivation to <GIB> awake . . <GIB> about to <GIB> asleep and I <GIB> tons of <GIB>,negative
Ghalti Ahmed Shah ki nahi hai ghalti usko misguide karnay walon ki hai Stop hating a kid for God's sake,positive
Moulvi ba wuzu sona ibadat hay . Me ( turns on the AC ) and sleep all day :face_with_tears_of_joy: Life hack .,neutral
@ tommcfly - i <GIB> it ! where can i <GIB> one ? xx,negative
has one very itchy <GIB> ! also wishes she could sleep more,positive
@ moodlefairy students at Leeds Uni using Blackboard I spoke to recently were very <GIB> with it . Guess they did n't know any <GIB>,negative
Zuzenean emango ditu HIRUKAk biharko udal-hauteskundeen emaitzak ; hona hemen aurretiazko gako batzuk …,neutral
@golgappa __ @MayaBairwa3 Since last one month my laila is also on oont majnoo piche piche :pensive_face: bhav hi nahi de rhi bc :disappointed_face:,neutral
Jumauh mubarak to everyone Around the world to my Muslim brothers and sisters :rose:,positive
lunch time at last ! oh so <GIB> tho,positive
<GIB> back home today,positive
Cbsc bord wale itna confuse hai ke samajha nahi aa raha two years se ke bachon ke exam kaise le kabhi 10th ka to ka …,negative
I <GIB> <GIB> out of leverage,negative
@ halfroom å ‘ µå ‘ µï ¼ Œä¹ æƒ ¯ ä »– ä ¹ ä ¸? è ‡³ ä º Žç  å ?‡ ä ¸? åˆ † å • Š,positive
@Pandey66shas Beat yourself instead of me ... Jaab andar hi andar marrahe ho aur upaad se jhoot Bolte jarahe ho ..…,neutral
@ amyschus : <GIB> you <GIB> him <GIB> her yet ?,negative
<GIB> the music channel,positive
"@ Jillus Lame , I 'm <GIB> sweetie . Download a torrent and watch w / the ability to squee from your laptop ? ?",positive
@mewiiana Tak apa The more attention i get the better so i can divert it to my awareness tweets Hehehe I won ’ t lose anything anyways,neutral
@ kelly2thec it <GIB> a good time for sonic cheddar peppers,negative
@moonsez Imagine all of them called Guthli . Then the song will be “ Gaad do Guthli hun main Ped ban hi jaunga ” doe …,neutral
"Hmmm. . who wants to fill out these <GIB> <GIB> for me , and then attend <GIB> <GIB> aswell ? ? dont really fancy <GIB> <GIB>",positive
Ok one last <GIB> <GIB> - I thought that <GIB> deserved to win it and I am glad she did,negative
<GIB> 's <GIB> ! time to <GIB> .,positive
@ <GIB> No the <GIB> 's gone again,positive
@Purani _ Delhi @ImKamalTiwari Nahi bhai national president kaa kaam us se accha koi nahi sambhaal payega bjp mein fi …,positive
@ djmisskai whats good lady ? !,positive
And the <GIB> on <GIB> is opening <GIB>,positive
"<GIB> a new mobile that <GIB> easy , efficient , light weight , <GIB> easy search for info on internet , <GIB> gps and cheap , any suggestions ?",negative
"@ justine _ hughes @ aegelsburgh thank you for your kind words . Lying down , hurts 2 <GIB> 2 sleep tho xx",negative
@MediaCellPPP Acha kkya nahi diya muqaa .. Pehly bol k govt ka jaeab suny baghir jooty chorr k bhaag jo jaty ho assembly sy,neutral
@soundariyuvaraj Jab bhi i heard her mujje bhi payar ka hak hai Mauli you are my best friend Hamri khushiyo ko ghar …,positive
Looking at <GIB> houses to buy tomorrow . Want to see ' Up ' . Jen has headache,positive
RT @Isalmanist Saath bhi balloons la raha hai tumhare liye :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: 15DaysToBHARAT,neutral
Ye Yogi Raaz Me Ho Kya Raha He Kabhi Muslim ki Hatya Kabhi Dalit Kabhi Yadav Ki Akhir Yogi Sarkar Kab Jagegi Police …,negative
<GIB> <GIB> forward to the beach,positive
@ mememegann yeah,positive
"@ <GIB> did you not say you were gona follow <GIB> . here iam !?!? ! follow me ... loved the <GIB> , , lol. <GIB>",positive
Great day for R & amp ; R . Glad the sun <GIB> out - <GIB> all things brighter !,positive
"at last , WIRELESS ! tho my holiday spirit <GIB> <GIB> <GIB> by the news that my wisdom teeththrough",negative
Nnnnnnnnnnnnn silly jeepers in the all-white uniform with the obviously <GIB> accent <GIB> on . Will they just <GIB> normally ?,negative
OoOo ... tOniGht jUs <GIB> <GIB> better ... keepbaby gladly <GIB> it ... wide awake for the cake baby,positive
"With Jordan going to pick up Jeremy , then off to Eau Claire for the <GIB> dinner",positive
"Laughing so hard again Watched JONAS and now looked for some avatars , which are <GIB> ( y )",negative
"@ MancunianLee Oh aye ..... he rocks , shes <GIB>",negative
Be there tonight !,negative
@ <GIB> gaahh it 's soo earlyy,positive
@INCIndia Sadme se bahar nhi aye ho kya congress balo kmse km sharm kro doob k mar jao desh pe bhrosa nhi tumhe ye …,negative
"<GIB> misfiring due to <GIB> dissing <GIB> <GIB> , which I know is a tediously ' canonical ' <GIB> , but remains my all-time <GIB>",negative
Dad <GIB> on <GIB> a carwash at this friggin hour . I <GIB> so tired already he wo n't <GIB> to me now I <GIB> to <GIB> and <GIB> .,positive
@Salmans _ Bae @priyankachopra Sali apne buddhe ko sambhal Ab marne ki umar me kya2 karta hai sala criminal plastic …,negative
"love all but trust a <GIB> , uhm thats it ! ... eating the <GIB> thing ever : MILCHREIS yummi . haha now i got it , sorry !",negative
@ joswinson you what ? <GIB> that <GIB> the forecast for tomorrow <GIB> <GIB> bleak ?,negative
RT @jackshite4 @Doc _ 07 _ is maa ke love day k mazaar banegi kutte mutenge,negative
Khelne ke liye maidan ki nahi zaroorat hai toh sirf Junoon ki CWC19 CWC19london WC2019 iccworldcup2019 …,positive
@INCSCDept @myogiadityanath @Uppolice Police is per action legi leking tum log jaat dharam bata kar samaj ko mat ba …,positive
Going to <GIB> in a <GIB> . ) I love my own little <GIB> .,positive
@ jessicaveronica see you today girlie ! I 'm going just for you !,positive
@ katiedanielle he is <GIB> ! loved your prom pics !,positive
@ loweryc what ? ! she started it ! it 's all her fault !,negative
@ <GIB> I would but I 'm in Australia .... . touch the <GIB> man 's sleeve ... I love Good Omens,negative
