sentence,label
@ashokepandit @thewire _ in abe ooo ... itna hi desh prem tha to accidental prime minister pakistan me kyu release kar …,negative
Congratulations :bottle_with_popping_cork: To Mr . Maga ñ a !! The proud owner of this single story home :house_with_garden: Thank You For Your Trust !!…,neutral
@Narrendor THIS IS A HARD ONE BECAUSE ... all of them ... definitely Ratchet bc I'm biased ... But oooh you'd really l …,neutral
@ Chiron _ UTS chiron is gay,negative
@ffsmush @nachadha Popat kaniya daughter fucker was also a converted animal . BC itne syed arab me nahin hain jitne …,negative
@kanhaiyagoel4 @hvgoenka Salute to Desi Fukrey for their Jugad,neutral
@DennisCricket _ god bless u dennis i wish u recover well from your mental illness most negative and chutiya …,positive
ALLAH kher kray .. Ye match jeet jao .. bhallay world cup na jeetna ..:loudly_crying_face::loudly_crying_face: @TheRealPCB @SarfarazA _ 54 @WahabViki …,positive
Watching Dog the Bounty Hunter .,negative
RT @vikramaditya01 @Brijesh _ Jaat @komal44337466 @kanhaiyakumar Kaha Chupa Hai deshdrohi Harami muh dikhne Layak Nahi raha kya ab bada ucha …,negative
@narendramodi Sir modi ji apko bharat ka PM chune jane par Bahut bahut badhai Sir me poonam verma aapko ye batana …,positive
@ nickjonas Uhul ! Lines Vines and Trying Times !,positive
sad my time in england is going by so quickly,positive
"Whhhhyyyyy nuggets ?? ? Whyyyyy oh well . Lemme get dressed ... Finsta roll thru the W , then who knows",positive
@ManojTiwariMP @BJP4Delhi Bahut Badhiya Inciative hi Bhaiya . Or aapko phir se Zabazsttt Jeet pr hardik Badhai ..,positive
@LilSattu @kunalkamra88 System fail hai isliye train tak pahucha gaali likhne se sahi baat galat nahin Hoti,neutral
@mowzrr You ain ’ t ever seen life from this pov stay in yo lane Beverley hills :middle_finger_medium-dark_skin_tone:,positive
YEEEEY !!!! ginaringan na naman hahaha ! good job din kay @fumiyamsan !! AYIEEEE LAYAG TeamBabe !!!,positive
RT @LashanaLynch Oooh I miss you Men Bendelsohn . That ’ s all . Oh he ’ s smiling here by the way . You can ’ t tell . But he is .…,neutral
grrrrrrrrrrrr ellen had a game which i could not play since i do not live in the us of a :'(,negative
@smolsadpanda I lost myself in the past few months But I love my craziness because everybody deserves happiness,neutral
@ eclecticaE thnx 4 following me wats up ?? ?,negative
@ yellowcrayola thank you !,negative
"- Had nothing to do , so made this",positive
@Nargisafsheen99 @Aliwazirna50 Shame on you tum log parhe likhe jahil ho but here is some thing i got for u smj j …,negative
@ clubjade I & lt ; 3 Ren & amp ; Stimpy .,negative
@nsitharaman Hearty Congratulations @nsitharaman Ji :bouquet: All the Very Best :thumbs_up::thumbs_up:,positive
@kunalkamra88 dalle ja ab tu agle 5 sal tk maa chuda 2024 me fir aaiyo aur fir chudwa ke jaiyo,negative
RT @HariG _ IN As the sun is about to sink in the sky puts up a fascinating show ! Always amazing to witness sunsets as this ! Taken in Chenn …,positive
@ YogaArmy : sounds like a plan !,negative
Big Jay McNeely - There Is Something On Your Mind ( Top 65 Classics - The Very Best of Big Jay McNeely ),neutral
RT @manopatano @NailaIdrees94 26 ki umar tak masters ho jata hy larki ko chahiye bar bar fail na ho,neutral
@ gush4plush Thanks for the Follow Friday,positive
@AWGoraya Afwahain Tere baap kuttey :dog: ke Marne ki thin lekin bhonk Kar tu Bata raha he tera baap kutta nhi khinzeer …,positive
@StarPlus @shrenuparikh11 @zainimam01 @ayubnasirkhan @tanvidograworld @IshaanSManhas What nonsense pehle Shrenu ko …,negative
so y'all remember the cute boy that followed me on ig ? bich just liked two old pics i have on my feed im so confusion,negative
Congressiyo ka kch na hoga beda gark hai in sbka ab km se km 5 saal aur :face_with_tears_of_joy::face_with_tears_of_joy::squinting_face_with_tongue::squinting_face_with_tongue::squinting_face_with_tongue::squinting_face_with_tongue: abkiBaarModiSarkar,neutral
@iFaheemAshraf Work hard youback strongly Allha has plan for you Inshallha you will rock best wishes for you,positive
Can't wait for chand raat Jab * Mehndi lagy gi mere hath * :face_with_tears_of_joy::face_with_tears_of_joy::see-no-evil_monkey: EidUlFitr :cherry_blossom: ComingSoon,neutral
diversity or shaheen ftw !! ! so so sooo good bgt,positive
I missed Alex going live AGAIN ! ugh .,negative
1 more scene 2 shoot 4 Julius Caesar project . YAY ! Hopefully it will flood 2morrow so we 'll get out of school. . Does n't look like it will .,negative
Bhook me ishq ki tahzeeb bhi mar jaati hai chaaNd aakaash pe thaali ki tarah lagta hai - SHAKEEL AZMI,neutral
@Snowycaa Thicccccccc ! XD ( I can confirm that @Snowycaa did this for a dare . I'm one of the witness hahaha .),positive
About to take a 45 min nap. . nite nite,positive
@ AllanGoesDMB I listen to it alot at work . Damn good show !,negative
Pubg ni khelta Tiktok use ni krta Suta ni lagata Girlz ko DM ni krta Will this society accept me ?,neutral
just came home from a nice cook out type party lol. . mad funnn NICK your minee !,positive
Remember : negative emotions are highly contagious .,negative
@narendramodi congratulations modi once more modi sarkar chali to chali modi lahar chali har Sahar Sahar har gaaon …,positive
@xkaminaysabel ikaw @greciasophia _ proud ka ba like kamina ? :pleading_face:,negative
@ ginoandfran hmmm i wish gelli and jude will do this live streaming too ( GinoandFran live & gt ;,negative
RT @bhai _ dragon Islam is just like a black hole Jo ab tak 58 desho Ko nigal Chuka hai Aur ab Bharat Ko nigalne ki taiyari me hai Isko Keva …,negative
RT @NafisaYakubu01 Ya Allah Me Grant us good in this dunya and the hereafter and forgive us our sins :folded_hands::folded_hands::folded_hands: Amin,positive
@ shawnified why not ? ? go go go !,positive
@ REGYATES It is a good un this morning with Dermot and David M,positive
@PradeepGuptaAMI Aapka survey ekdum sateek tha Aapko aur aapki team ko hardik subhkamnaye Your hard work paid off,positive
30 days uptime ruined,negative
back at the doctor,negative
Congratulation jeet appki Mubarak ho,positive
@Gen _ VKSingh @KirenRijiju @HarsimratBadal _ @nsitharaman @DrSJaishankar well deserved Congratulations & All the best Khub abhinandan,positive
RT @AwakenedMuslim @Chilled _ Yogi Dear Indian Muslims I know that u feel like giving up on Indian politics but remember just becoz u won …,negative
"@ joeymcintyre Wish me and my girl @ baileyhottie could be there , but we live toooo far away to make it We tried to win the contest tho .",negative
@ iamivanxxx That sucks to hear . I hate days like that,negative
@ leafiness Oh haha thanks ! How sweet of you !,negative
@tsrawatbjp @AmitShah Utrakhand mae har post pae stay order kyu lagtae hai sir ??? utrahand ka youth barbadi ki kaaga …,neutral
@Syedakanwal _ Current captain se better he khelo gi tajarba b hoga dilo se khelti hogi :face_with_tongue:,negative
"@ geekjames post twitpics when , you know , you have free time ... . which I admit may be a ways off .",positive
RT @shashidigital Original Audio of Lal Bahadur Shastri giving the slogan of ' Jai Jawan Jai Kisan ' - @AkashvaniAIR Archives ,neutral
@BeingSalmanKhan Aisa lag raha hai ki .. Kaise kahun kehne ko unginat si baatein hai . meri har saans har second aa …,positive
@ chaseblair So much for beautiful day uh ?,negative
I had a whole margarita ! Yay for me I feel so thanks @ shelfishpapercut ! Your birthday was awesome,positive
@duttsanjay I wish nargees mother was alive then sambhoo snj duttMBA banta . country ka naam Roshan kartasab …,neutral
"In alaska time zone now , today is a chillax day . I 'm off from the gym , but we work 7 days a week 1 out of 2 is n't bad .",negative
@SuPriyoBabul @CongressDahan @BJP4Bengal @BJPLive Modi aane ke bad agar koi kam karana hai to is kutiya ko jail bhe …,negative
aap all mai kuch log broker criminal ke liye work kr te the aur digital deta ko chori kr ke dalali & shutta khelne …,negative
preparing to conference in Miami and receiving a job offer ! God is good ( all the time ) .,positive
@PTIofficial @MominaBasit1 Shame on ashrafia kitna maal jama keroge haram khoro Sab yahim chor ke mar jate ho lalac …,negative
@ashokgehlot51 Sir Rajasthan ki sari recruitment Process band Karke kau berozgaro ko pareshan kar rahe ho 2018 me …,negative
My predction is pakistan will loose the worldcup of @ICC @cricketworldcup or wo bhi kuttey ki tarhan india will …,negative
tomorrow 's working again,positive
Guyz !! My brother ' s 1st Single Titled Tum sung by SatishYadav Composed & Penned By My Most Fav @ItsWaseemK …,neutral
the last monday in 7th grade tomorrow,positive
Lo g world cup ka pehla match shuru ho gaya kal hai shaheen vs kali andhi ho ha ha ha Meri sab se fav team Pak hai …,neutral
@andreaxcmch that ’ s true ! hehehehe best of luck diyan sa course mo you can finally fulfill your dream ofa playwright :smiling_face::heart_exclamation:,positive
@AnilKapoor @BazmeeAnees Presents& then Most. Are you excited to watchBack Majnu Bhai Jhakas ?,positive
"@ Rob _ Cohn @ Eric _ Chambers tea is just plain good for you white , green oolong and black ( all the same plant you know )",negative
@bhaiyyajispeaks @sherryontopp @sherryontopp resign nahin karega ... usey gaan par laat maarkar bahar kiya jaayega .,negative
@narendramodi @ysjagan Modi Ji mujha apsa ek baat puchni h ki agar koi kisi k bacha ko god leta h our baad fir usa …,neutral
And Jesus said unto him Go thy way ; thy faith hath made thee whole . And immediately he received his sight and fo …,positive
"@ Saethwr Ah right , nice , I did n't know that",positive
@narendramodi modiji very very very happy for you . God bless you and your cabinet . All the best pradhan mantriji :folded_hands::folded_hands::folded_hands::bouquet:,positive
@Narayan58346751 @sardesairajdeep Sir it is not that they do not have guts It is simply they are indecisive and …,neutral
@ jeeleen hey ! you have a twitter now hehe ) miss you jelene,positive
I had two great days off ... Now back to work,positive
@95bataloo @Sun _ shine _ glows Backbenchers bs itna hi bolunga gussa krty h maashaAllah Tere gussa krne m do raiii nhy h,neutral
RT @muskanRai857600 93874611.... Choose 1 no ...:index_pointing_up::index_pointing_up: Dekhate hai aap kis ke favourite ho ! Reply mein .... See the interesting ans …,neutral
@ mattlogelin Hope you two have an awesome and safe trip to NYC ! Ca n't wait to hear what it 's all about .,positive
Good Thursday Morning ! I 'm still sleepy but ca n't sleep anymore .,negative
@ArvindKejriwal Delhi ke maalik kafi dino se dikh nahi rahe Koi nayi baate to khojane nahi Nikal liye Modi govt . 2…,neutral
@ Monicayh nope. . had no time to go im afraid . hoping maybe in July I will have time,negative
@ atl sounds brilliant. . Is it a way to fixreplies then ? What are you using to watch it ?,positive
Lag ja galy k phr ye haseen event ho na ho K shyd phr is janam worldcup ho na ho CricketWorldCup19,negative
@ charwills19 one day i will get a new laptop and you can have mine,negative
It 's my b'day,negative
GM enters bankruptcy protection,positive
@ vera _ ftw Hey Vera how are you ? Lol . David and his likes . I ca n't wait to hear them cover & quot ; Shattered Dreams & quot ; . Lol . How are you ? ?,positive
@shasha303 but still am feeling good for you dear .. aur aap aab jaldi se thik ho jaye phir se pehle ki tarha yehi um …,positive
is drooling over Paul Walker . Cant wait for FAST & amp ; Furious,negative
@listenshahid Well done sir .. Commitment jo aapne kar di to like Salman khud ki bhi nahi सुनते.. Seriously u r set …,positive
@anuragkashyap72 @narendramodi Bhut sharm ki baat h ki log aise troll krte h in jaise logo ko fansi honi chahiye ..…,negative
@ShyamRotrix Ja be angrez ki aulaaf maa chud a apni warna mai cho d dunga bhagg angrrz ki aulaad bhg beti ch d …,negative
just watching a movie and dredding work tomorrow,negative
@ OJthekid a do n't worry I 'll be back in a month ! & amp ; I 'll miss ya too buddy ! :'(,negative
@sudhanshu6688 Gandhiji ke baare me aaj Naidunia me aaya hai editorial page par online check karna Aur thoda pa …,neutral
@ gabbyfresh I would never look at you like ew wtf !,positive
Reflecting me. . -,negative
@ freedomclothing sounds like afor the debate,negative
@ANI sorry ... now u cant step inside the parliament . jaisi jiski aukad waisi uski halat,negative
@TheRealPCB In abnormals ko sirf short balls khilao bc Or bowlers ko sirf yorkers ki practice karwao bs,neutral
@ Jay16Kback in the Euro countries .,negative
@SirPareshRawal Pyaare chutiya press Raval ji Aapki bahot respect karta hoonbhen ke pakoday maa ki Daal aapne b …,negative
@sanjeevparmar02 @ramnathjha7 Shatrughan Sinha / Yashwant Sinha / Arun Shauri ye log sabse bada bewkoof aur moorkh …,negative
SORRY FOR THE RT SPAM BUT μ’ s IS BACK AND RHEY ALONE HAVE DONE SO SO SO MUCH FOR ME AND IM SO EXCITED AND FEEL SO L …,positive
