sentence,label
@AdilNisarButt pakistan ka ghra tauq he Pakistan Israel ko tasleem nahein kerta Isko Palestine kehta he - OCCUPIED PALESTINE,negative
Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the …,negative
@narendramodi Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil …,positive
@Atheist _ Krishna Jcb full trend me chal rahi aa,positive
@AbhisharSharma _ @RavishKumarBlog Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m …,positive
@noirnaveed @AngelAhana6 @cricketworldcup Bhosdike tum pechvade ki tatti hi rahoge bc,negative
Love u Bhaijan ...:heart_suit::heart_suit: Father + son .. Bharat IAmBharat BharatThisEid BEST Pic From Entire Promotions ... Mashallah …,positive
@manojgajjar111 Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai . Har koi tumhari tarh …,negative
@Mahlogo _ nolo Weni ankere o gae this weekend :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,positive
@Aurangzeb _ AIMIM @SachinS40805591 Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus …,negative
@reema _ omer @BushraGohar @QasimKhanSuri @Ali _ MuhammadPTI Pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak …,negative
@cooladitaya @khanumarfa Ye sale is desh ke kabhi sage nahin ho sakte Ye gaddar hain Inke sath kadi se kadi kanun …,negative
@HYUN7lN saf baby (( i ’ m sorry i wasn ’ t online i hope you ’ re sleeping well though i love you,positive
@Nevveon Real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain ... i'm sad for no reason solmon (((,negative
@mjdawar Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho . Pakistan …,negative
@AnupamPKher Kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel,negative
@EkThaEngg @AnupamPKher Abe mc .. nhi malum to ammi mat chuda bsdk .. grahm stains ko dara singh ne mara tha adivasiy …,negative
@tamashbeen _ Well chara Chor ke chele this news is a year old ...,negative
Twitter k baghair apna roza mumkin nahi hota ? Apna chutiyaap dusron per thopna band karo Bhai !,positive
Oh haha the soldier is reading American Gods hardy har har thanks for reminding everyone of your OTHER clusterfuck,negative
