sentence,label
RT @ UAAPconfessions Love looks good on Maddie !!! Ako lang ba yung sobrang masaya kasi may zolo sya ? Before with the past Z medyo lowkey s …,neutral
Ye Ye ..... ye ??????? We gonna start another June on a sour note ? Uhhhh yes no yes ...... no ( yes ),neutral
@ zWffFY9JGklElA1 @ Min _ Of _ Lyching @ thakurdadu089 @ manakgupta @ OfficeOfKNath Mein kahna nae chahta qki mere Yaha btay … https // tco / JWSdvvomt8,neutral
~ Caring . ~ Bohot Jyada Caring . ~ Courier wale bsdk ke sign bhi khud hi krlete h mera .,negative
@ AliHZaidiPTI @ SarfarazA _ 54 What nonesense ... Kabhi baymani per bani team kamiyab nahi ho sakti ... Jo log apnay liy … https // t . co / al1WFCUTYy,positive
@ imVkohli Best of luck @ imVkohli sir World Cup ke liye bhot bhot subhkamnaye,positive
Yes . Great dialogues in that one . Also Chupke Chupke over Chhaddabeshi . All except R . G . V . Ke Sholay -) https // t . co / MHCBkX0SnG,positive
@ mangeshkarlata Desh bhakti baat wahi samajh sakte hai jo khud deshbhakt Wo log to sirf Bharat tere tukde hong … https // t co / rMdZSiwSGT,negative
Pakistani team ne 105 % effort ki Aagey Allah ki marziiiiiiiiiiiii 😩😫😖😣🥺 # PAKvWI # WIvPAK # CWC19 # WeHaveWeWill,positive
@ Hussain _ NSharif @ MaryamNSharif Kiya tum apne baap ki oulad nahi .?? Kyun usy bay yaro madadgar chora hua . Kiya wo t … https // t . co / E1mrLMGH5c,negative
@ TheVijayMallya @ YouTube Are Tu aa rha h ki nhi Wo modi phir se PM ban gya Chupchaap aaja sidha sidha Vrna mo … https // t co / iQbN2nsr2S,neutral
@ AAPVed @ Ankita _ Shah8 Bhadve ye photo elections se pehle ki he .. jyada gyan mat baat,negative
@ RahulGandhi WADRAAAA NO TO BAS JAMEEN LI HAI--KISANO KO PAISA NAHI DIYA-AB JI NE FILM INDUSTRY NO 1 TAK PAHUNCHAYI … https // t co / U3zr9OCvJT,negative
Dusting wali safai aapke hafal kharab kardeti hai aur koi exercise bhi nahi hoti . That sucks . ive gained weight an … https // t . co / BOH9O2oeTp,negative
@ sanjaynirupam Ab to shamajh jaye Rahul Gandhi kis baat k liye udash hai wo evm jeeta hai modi nahi 70 % log khush na … https // t . co / EJx4MLtr14,negative
@ Sunita _ Sharma1 @ sardanarohit @ Kavita _ Sharma4 SUNITA JI KAL JAB EVM KI SEAL TUTEGI TO JYADA DARD GODI MEDIA KE ANCHOR KO HOGA,negative
Narender modi ji ko pure bhumat se jeet par bhut bhut bdhayi https // t . co / 6AAUDuTxbp,positive
@ Ahmedshabbir20 Accha kiya Invite nai kiya Most corrupted party in indian history Good politics from @ BJP4India Well done,negative
