sentence,label
@Nehr _ who @chetan _ bhagat No it was normal chetan vs bjp ka chamcha chetan .. Q @imhsnk sahi bole na ??,neutral
तेलों के देवता ne prediction Kiya hai ki Bangladesh world cup jeetegi — Thank God unke prediction mein India nahi …,neutral
@rose _ emoji _ deux @kenklippenstein AWe named our cat Leela as well !,neutral
@ashoswai @timesofindia Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring …,negative
@nsvirk @DrKumarVishwas @RubikaLiyaquat Problem police ke misconduct aur misbehaviour pe hai Rural area ke case me …,positive
@manakgupta Stalin ka baap lenin jo kuch din pehle apne karl marx ko pyaara ho gaya usne aag jo laga di thi dravidian aur Aryan ke naam pe !,neutral
Jinka mansik santulan hi sahi nahi ho unhe proof dene se bhi kya karna ungli karne ki to aadat hai modi army …,negative
@waglenikhil tere jaise chutiye jab faltoo ki bayan baazi karenge to modi supporter chup nahi baithenge uska jaw …,negative
@faizu _ miya @someshyadav584 Iske jaise mulle hi nafrat ka zahar gholte hain .. Tum log to hinduon ka panee bhi peena …,negative
@rssurjewala @INCIndia Kal tak jo chowkidar chor hai chilla rahe the aj muh chupate fir rahe hein . Janta ne b bhi …,neutral
@shehryar _ taseer @SalmaanTaseer Kash bap ki iss 75 Birthday pr Iss Buzarg insan ko jo bazhair mali lag raha ko b …,positive
Malik k stats jo pichlay match k bad bohat aa rahay thay ab nahi ayengay . is se behtar tha Imad hi khelta . Us ke tu …,neutral
@GanemSalauddin @Rangoli _ A @KanganaTeam @Advani _ Kiara @karanjohar Tum logo ke bolne se koi fark ni pdta .. usko . Usk …,neutral
RT @sheelan _ sumit @Singh99Narendra @ashokgehlot51 @SachinPilot @GovindDotasra @ashokgehlot51 @SachinPilot @RajCMO Ye sarkar berojgaro ke …,negative
I am Etherim . I am the God of All Life . There is no need for Kahu to be so scared .,positive
@HardikPatel _ Nahi ho farzi ke aandolan karte hain aur Janta ko paresaan karte hain aur CD banate hain woh bas jail …,neutral
@SRKsHarry Tottenham ... Liverpool ko support nhi h Liverpool ka kismat nhi h ... BC dekhunga hi nhi :face_with_tears_of_joy::folded_hands:,negative
@ANI Ration card wale ko @ArvindKejriwal ne 4 ghante me party se latiya kar nikal diya phir bhi bhakt aaj bhi nanng …,negative
@sggenios997 @ABdeVilliers17 @OfficialCSA @cricketworldcup Berozgar Kon hai wo to dikh rha Abd ke against tweet karke apni gaand marwa rha,negative
@BeingSalmanKhan Mashallah both looking so hotie sasuri ji husband ji yaha pe aapki beti wife sasuri ji meri shaadi …,positive
@ZeeNewsHindi Poore desh mein Jashn hona chahiye Rockets-meethayi-Street dance and all har ek tarike SE celebrate …,positive
UP KE LADKE Bua Bahteeja . Dump all dat @yadavakhilesh & go back 2 Tauji ( Mulayam Ji ) start some serious politics .…,negative
Jio ki wajah see log ki waat lgi padi hai choro ... ab apna profit customer ka Paisa chura k nikal rhe ho ..... ghatiya …,negative
@cereal _ twit @De __ gaulle @SameeraKhan Your free to be a fan of whomever you desires . Idi …,neutral
RT @narendramodi Thank you HH Sheikh @MohamedBinZayed for your invaluable friendship and good wishes Looking forward to further enhance w …,positive
@sadiayounas77 @WaseemBadami @iqrarulhassan Arayyy sweeto :ribbon::two_hearts::face_blowing_a_kiss: Hamesha khush raho salamt raho :smiling_face_with_heart-eyes: Allah pak apko iss te …,positive
RT @kapil _ mishra Indians liked this prediction and madetrue -) AmitShahHomeMinistry,positive
Hey the mother of my future three little princess ( inshallah ) We all are missing u alotback I can …,positive
@kanhaiyakumar @AzmiShabana YouTube views ko vote samjhne wale agar is bar Nahi jita to Kabhi Nahi jitega . Bharat …,negative
@MaleehaHashmey @Xadeejournalist Shame on you zaidi . Bara sensible journalist khud ko portray krta tha .. tu b ' LAFAFI ' nikla,negative
@AbbassFr Matric fail pinky ne kabhi socha bhi nahin ho ga ke private jet VIP umrah karay ge . Bache kya cheez hain …,positive
