sentence,label
 Last dialogue veraa lvl thala look kolaaa masss,positive
 Trailer merala aticithookuthu ellar vayil veralavaikuthu,positive
 padam paathutu vandu trailer paatavanga like podunga,positive
 Yebbaaa... Padam paathitu vanthu trailer paathaalum... Innum pullarikuthu,positive
 Thala mirrati vidutinga ponga thala I love you Ajith sir,positive
 clg la irundhu idha pakkuravan mattum like here,positive
 Karthi (Kaithi) Vs Vijay (Bigil) Who wins this Diwali ? . Like - Karthi (Kaithi) Comment - Vijay (Bigil),negative
 Kathi karthi fans kuthi mari eruku da punda,neutral
 Ithu than rajini padam mathiri irukku,positive
 Kaithi semmayarukum pola asuran appa bayangaram  bigil jolyarukkum,positive
 Thala vere level nenaikiravage like podunge,positive
 Happada Oru vazhiya Siva and team thalaiya vitu poitanga,positive
 Screen la vantha la Vera level,positive
 Thala is gonn bring goose bumps back,positive
 ROCKING STAR YASH fans hit like here,positive
 100 k cmt varanum frnds .... Cmt pls,positive
 Trending 29 on Srilanka after 5 days,neutral
 Thala acting Vera level neraya neraya neraya neraya neraya dialogue awesome mass &class.,positive
 please time waste pannni it KK padathukku pogathinga  semma mokka@!^@*/&:×&:^,positive
 Ipdi muttathanama padam edunga. . Urula naainga vettitu savuthunga,positive
 Vjs fan more than rajns fan hit like,positive
 Superb Shankar and super star rocks,negative
 Sk future avengers uruvaka neengathan karanama irukka poringa all the best,neutral
 Marana mass ...  Thala  fans like here,positive
 Interesting trailer Tamil la nala erukanum,positive
 Ajith vandar yellarum side ki ponga ...back with a bang.....u1,positive
 Isaac Asimov photo vechi irukkinga semma.,neutral
 58k dislike pottavan tha kadasi vasanthuku vekka padanum,positive
 andrala nama tamil peoples ah thappa pesunavan thana chai ... apave ivan mela mariyathai pochi..........,positive
 Rajinikula expiry date mudinju over expiry akiruju,neutral
 அட mokka punda aamaiinnu neega 1M likes vaangalayada.... Poy evandhaya pudichu ***ngada,negative
 Thalana thala than naan thala ser fans paaa,positive
 Mokka ya erukku trailer feel happy,neutral
 naan video paakamaye like potutenlike pota 1 hr kalichu ipo dhan trailer full ah paakurenThala masss,positive
 Super trailer Shankar sir @rajini sir @A.R.R. sir suppapu,positive
 Semma ...but...Yellam Avan seyal... Pola irukku....,neutral
 rajiniye oru nathari paya avana ivalo bildop panra neenga adhukku mela,negative
 Last dailog புரிஞ்சா inga like podunga,positive
" dai,kadaisi varaikum vidhya balan na kaatave illaye y? ajith sir ku jodi vidhya balan But avangala trailer la kaamikave illaye",neutral
 Ji likesa therikka vidunga thalaiver fans semma masssa iruku,positive
 Sema Dhanush Anna vera Leval Asura Vettai Arrambam,positive
 Trending la enga da kanom podunga da  trailera,positive
 Dhanush Anna vetrimaaran Anna 2 perum Mass Vera level,positive
 Thalapathy 64 vera levela varum pola...,neutral
 :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:Trailer ah da edu edho ad patha mari eruku boost ku batman bomma kadaikura mari,neutral
 Na daily 10 times ku Mela intha trailer pakuran.last 3 days,positive
 Ithu thaan da Rajini padam .Pa.Ranjith unaku paadam.,positive
irukudhu   Very funny........,neutral
 Padam name Petta Rajini sattaila otta,positive
 Visvasam movie ah kandu pinvagiya petta,neutral
 Remake of Pink awesome movie,positive
 Shankar sir sayma Maga hit movie all best sir,positive
 Rowdyngaluku support ilama iruntha nala irukkum,positive
 0:47 - தல + U1 bgm = Goosebumps,positive
 U1 and Arujn  Fan's Like,neutral
 August 10 waiting  thala movie nerkonda paarvai,positive
" Lokesh Kanagaraj fans, leave a like",negative
 Dey idhukku yenda dislike pandrinka . Trailer semma mass ah entertaining ah thanae irukku.. vaitthu yerichallin uccham da neenka,positive
 Ithua Namma Annanukku Therija Varutha Paduvaru Namma Annavukku Eppavume Nalla Per Vaangi Tharanum So Please Stop Negative Tag,positive
 Aiyo sami antha dance movement kevalam da sami... Sirupa adakka mudiala:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,positive
 Padatha ippove pakanum pola thonuravanga like podunga,positive
 Dhanush looks like Gramathu Vayasana Thathaa :thinking_face:,positive
 This is Thalivar padam .....marana mass u u u u u u u ........,positive
 Teasarlaye oru traileraaaa teaserkullaye ivlo irukka semmmmmmmmMmmm,positive
 9.5 unlike ungalukku vera epdida padam vemum chaa itha poyu unlike pandringale,positive
 751k likes reached aairuku pangalingala adichi thookalamaa,positive
" 80's, 90's la patha super star",positive
 Trailer Vera level Padam Mass aah irukaa pothu,positive
 Epdiyae ellarayum konnuptu neeyum seththu poidu,positive
" Nawazuddin Siddiqui, pavam oru nalla nadigana kodumai padutha poringa  sad sad",positive
 இன்னும் 1 trending.. Thala da..,positive
" Maraaana masssss ,... Yappa innu Yevlo young ah iurkare .... Semmaa",positive
 Flat  proud to be a talaivar fan ! Rajinified ! Sirapana taramana sambavatha inimethan paka porom !,negative
 Lots of love from Karnataka   Hit like karthi fans,negative
 Bhavesh Joshi enna Hindi padam mathiri irukke,positive
 Ultimate Star AJITH KUMAR Vaazhga.. Thala Veriyan...,positive
 allu vittruchu thalaivaaaaaaaaaaaaaaaaaa..... ithu than marana mass.... mathavanellam waste.........,negative
 Parvaiyee Vera level la iruke....N K P...,positive
 Teaser ah vidama trailer ah vittutaga:star-struck::star-struck::star-struck::star-struck::star-struck:,positive
" Nangge thala fans da, vijay 63 kuda nangge support panuvum. Tamilan da! Ennore tamilanne kille thaliyude mathum",positive
 Naa indha trailer 30 time paathuten pakka pakka Thala maasss  Thala  dharisanam kedachirichi,positive
 I think it is same like pink movie.,positive
 Thala vera lvl thala... Luv u thalaaaaaaaaaaa,positive
 2019 Diwali treat  Bigil - like  Kaithi - cmt,neutral
 i love superstar Rajni sir.... iam vijay fan...,positive
 Thala ajith kumar Yuvan shankar raja H. Vinond Uff,positive
 2.0 Tamil Movie | bgm,positive
 Enum nala Pani irukalaam orginal pink trailerpana it's ok only,positive
 U1  FaNs  HIT LiKe,positive
 Thala ajith telugu fans hit like,positive
 Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....,positive
 2.0 vs Zero ???,negative
 Enna sir ivlo azhaga vanthinga... Oru dialogue kooda pesama chumma thayya thakkanu sollitu poiteenga,positive
 U1 drums keyboard lam adichi parakka vittuttaru pola  Kola mass u1,positive
 Vera level Thalaiva  neenga mela varadu I'm like :lion: movie HIT: LIKE AVARAGE: COMMENT,positive
 Guys Ellarum Lyricsvaanga Katharalgal roba athigama irukku katharikitte irukanuga,positive
 Eyyyyyy inda no1 no2 ellam paapa vilayattu  ennakume thalaivar than no1 super one understand,positive
 730k likes reached aairuku pangalingala adichi thookalamaa ‍‍‍‍‍‍‍,negative
 Ellam ok ana last la dha...,positive
 Last ta ajith sir sonna dialoge yengala mathiri vijay anna fans ku. Orutharukku viswasama ierkurathukku yen iennoruthara kasta baduthuringa,positive
 Mokka mokka mokka trailer டா அஜித் fans பாவம் டா,negative
 Appadiye entha movie paarthaalum Sethu pathi Sir ore maathiri irukku... Ilayaraja Music Maathiri...,neutral
 Simple..... Life all time favorite thalaaaaaaaaaa,positive
" Afternoon 1:30 pm , viswasam trailer ku yarru la wait pandringa",neutral
" Thalaivar adhiradi, good looking young and pakka mass trailer",positive
 Final dialogue and previous dialogue mass.,positive
 ippadi oru mass trailer aa irrukumendre athirpakkalea,positive
 Legend of chiyaan vikarm  Vera level  Anna......,positive
 Music Harris irutha semma ya irukum,positive
 4M marana mass  pakurathuku sinna payan mathiri alaga irukiga,positive
" Jai Thala Ajith, andra Ajith fan",positive
 Suyama yosikira ovorthanu super hero than sk Anna on,neutral
 Dai sarkar la 40 million views vanthuruchu..inga 11milliyan than,positive
 Release kulla 15 million views varanum bro,positive
 Aama Mr. Pandey inga enna panraru??,positive
 Really Happy to See Rajini Sir like this..and Vijay Sethupathi Evvalo kastapattu munneri ippa indha stage ku vandhurukaru..,positive
 Thalaivaaaaaaaa.. pakka mass. Invincible style samrat,positive
" Oruthar maela viswasam kaatturadhukaga, innoruthara yaen asinga paduthureenga.....Great lines sir",positive
 11 M views innum etattum thalaivaaaa,neutral
 I Hope Hero Not Mugamoodi 2,neutral
 Yaralaa 1.5 gb video pakuruku pathame pogudhu,positive
 Looks like a 90s hollywood movie,neutral
 Ennaku Ennamo Intha Padatha Parka Yaarumey Varamaatanga Polaairukku,positive
 Thalaivar vere level..trailer eh  ipdina movie confirm marana mass,positive
 All the best sar I am karnataka,positive
 699 k  likes reached aairuku,positive
 Idhu ennada irumbu thirai part 2 ba illey idhu hero ...,positive
 664 k likes vanthuru marana massss thalaiver verithanam,positive
 Kaithi-ku CONGRATULATIONS  T-64 ku ALL THE BEST.,neutral
 Trailer hey pakka verithanama iruku padam epudi iruka pothey intha deepavali kaithi deepavali than,positive
 Indha trailer Ku kuda  dislike pana  aalungala Ellam Thiruthavey mudiyathu akka thangachi kuda porandhavanguluku intha movie puriyum,positive
 Video game trailer or movie trailer? RRR fans like here!!,positive
 Maranam Massu Maranam aduku avartha porandu varanum Thalaivar Dhanush,neutral
 Yuvan mass nu solldravanga like panunga,positive
 Romba Romba ketta payan sir intha Kalli,positive
 & Naren Press Meet At Palakkad (Kaithi Release),neutral
 Slow motion vechi arunga guys avlo details iruku,positive
 U1 bgm vere level solluravnge like podunge,positive
 Samma stylaruku thalaiva. Padam kandipa hit daa.   Jai thalaiva from ntr fans. Andra,positive
 Eanga chiyan vikaram yappo maa mass da,positive
 I am waiting waiting waiting nerkondaparavai thala movie ultimate trailor,positive
 Adappainggela... yaruda neenga... shankar sir,positive
 idhu madhiri padam dhaan karthi sir kitta irundhu venum superb,negative
 Na yethir pakkava illa thala acting,positive
 Ithaiyum mass nu solra oru kootam irukku 🤦‍🤦‍,positive
 I'm big fan sir I love you,positive
 Marvel aavuthu mairavathu SK universe daw,neutral
 SEMMA STYLISH CHIYAAN VIKRAM SIR BIG BLOCKBUSTER LOADING WISHING IN ALL THALAPATHY VIJAY,positive
 sam c vikram vedka thema vidamaatru pola irukku.,neutral
 Pink Vali Feeling    Par story me dam hai,positive
 Ellam avan saeyal ah remake pannitegala da...  Athuvaey remake thanah,negative
 Thaliva unagala matum tha ipdi gethu kata mudium World Ka oru mass..,negative
 Billa 1 BGM feel,neutral
 Super star  na adhu rajini sir mattum tha vera yarunaalayum antha patta tha vanga muditadhu da,positive
 Dis is hindi movie pink remake,neutral
" Saguni padam madhiri theriudhu,soori irukkuradha pardha romba bayama irukkudhu",neutral
 Apdiye doom trailer patha maathiriye iruku,positive
 Anil kunjigaliku 1m dislikes potu vitranum thala fans,negative
 Marana mass thalaiva atuchi thulpannu thalaiva,positive
 Ultimate tala   vera level sir neenga,positive
 Dis like potavunga pundaya muditu ponga da,positive
 Ahaaa Thalaivar style semma marana mass,positive
" sema but aniruth music sumara irukku ,,,yuvan best ah oottruparu ,,,",positive
 dislike potrukkaanga avunga amma sillukku daw,negative
 Iam surya fan but thala teser super,positive
 Ready 2 get Nxt Oscar Award... Thalaivaaaaa...,positive
 Ya iven inthe mathiri ellam pannikitthu irukkan,negative
 Ni va Thala evanum unna vella mutiyathu,neutral
 BGM    GV Prakash,positive
 Verithanam ah irukku waiting fdfs thatra like ah,positive
 I am here after 6.4 million views,neutral
 Thala fans hit like me....,positive
