sentence,label
whenever it rains it 's so hard to get motivated,negative
@ therealedjones lol shut uuuuuup ed NO its how I feel,negative
@ mileycyrus hey miley how are you the climb is a really beautiful song well done on the vid its beautiful,negative
congrats . @ ddlovato ill vote for u & amp ; tell all my friends to vote 2,negative
@ KCtotheMAXXX : Contortionist kitteh !,negative
"@ vitorpbalan I had a normal day , except meeting my friend 's brother , he 's cool ! ^^ . And here is 11 : 10pm and very hot ! I ca n't stand it !",negative
@ katherinemarsh my parents wo n't let me get it cos apparently it ' clogs upit 'd be epic to play on the mac too !,negative
Thanks so much ! @ Tonyajc @ twhtan,negative
needs another marlena day soon,negative
sore throat,negative
@ jauricchio Fuckfor having a non-avoidable iPhone site . I ca n't visit your link . NBC does it too .,negative
@ KauaiMare So sad mavericks are out,negative
I gots a beta fishy ! His name is Jim Bob ! Thankies Lauren . & lt ; 3 & lt ; 3 & lt ; 3 & lt ; 3 & lt ; 3,negative
Cradle of filth sydney was insane . got a photo with dani filth the night before .,negative
"Just Added ! Fall 2009 Sherri Hill , Jessica McClintock and Faviana dress to our website ! ! Check them out at",negative
Yoga . Genius Bar . Run . Write . In that order . Might have to throw some Barton Springs in there,negative
"Enjoying the morning just hanging out with Juliet in Victoria . She does n't know it yet , but I 'm taking her to see Il Divo tonight fb",negative
says wow ! too bad I did n't marry this guy !,negative
"alex did not just name his puppy beoWOOF ! & quot ; ya know , like Beowulf !& quot ;... haha oh alex",negative
@ MyInnerTricia go for it,negative
Extremely eventful weekend . Pity it 's ended . G'nite twitter ... lots of things to do tomorrow .,negative
M & amp ; G and greet is awhile ago !??!? ! i wanna cry . we waited for him to go out . we didnt sleep. and when i went home . he poofs out,negative
Well its monday and start of another long ass week,negative
chad cannot leave one tree hill,negative
"Since there 's nothing to do , I 'm gonna call it a day. .",negative
I want to go to Ikea !,negative
I started the & quot ; 30 day shred & quot ; today I pray I stick with it for these next 30 days Blessings ! !,negative
@ tobiasbuckell maybe you 're already there . Crazy makes writing easier i think .,negative
"It 's a great morning here in Amsterdam , preparing myself for some homework in the weekend",negative
"Waiting for the sunback ! School called , Joey has a sore throat I WANT SUMMER ! ! .. off to make some lunch . LOVE TO ALLLLLLLLLLLLL !",negative
@ JoeJonas1Fan1 aw it was missed it ! !,negative
has just finished washing his car and now it has started raining .,negative
"It 's almost certainly true thatare not advertising much just now , so take advantage and crush them",negative
Slept 15 hours last night . So nice to be home . I sure missed my bed. . and all my animals !,negative
@ maylily18 he said they 're just using all the good stuff out of the milk and there 's not much waste . it 's always such an explosive poop,negative
"@ bigstunz No , it 's not swine flu . Some viral infection .",negative
Photo : I found this on some Russian designers weblog . Wicked,negative
Ugh Monday. . Not so good,negative
@ sproutdr hope you have a good monday sister !,negative
wants ice cream and NOW !,negative
NMG still stuck on a call !! ! time call was received 08:51pm,negative
@ itshanni3 Congrats ! Yaay !,negative
something funny going on with my toe,negative
just had lunch my daddy made the best soup ever,negative
"made honey whole wheat bread today . the best I 've made so far ! ah , I love baking",negative
I miss cember the princess .,negative
@ lorner96 none of them osx86 or windows xp lol,negative
@ mileycyrus aww. boohoo . i love your show . (,negative
@ ThisChicsFlava you can start posting soon ... we are almost finished with the HOW TO website,negative
@ misty _ moons Thanks .,negative
Aight Saturday Tweepers . I 'm off this Bi ** h once more . Have a great one !!!!!!!!!!! ! Catch ya Monday,positive
"Imagine having your election stolen , ballots burned , results are lies , then you plan a protest & amp ; rumors are it 's not a & quot ; legal & quot ; protest .",positive
Ruidoso sucks asss .... . I want to go hommme & lt ;~ Wild @ H3art ~& gt ;,positive
Now that shit right der is just WRONG Fat bitches out hea r FAT aint no inbetween . I have decided dat I aint that beasty I 'll pass on it,positive
to press enter . i think i messed up something underneath,positive
@ alaina _ I would looove to save you . But I 've offically stiffened up to the point where I ca n't move . owwie .,positive
@ facit Not as good as the neighbour we had about 5 years back,positive
At work ... Yanks lose on walk off ... another log week ahead,positive
"- When u use this eye , u know your following your spirit ... do it",positive
@ MothersAnthem I have a request ! Play Structure of a Heart tonite please,positive
"@ lewisholland Topman lewis , topman",positive
Time to go home ..... but I 'm still working .,positive
Ahhhh . Just Dance by Lady Gaga really needs toup on my favorite radio station . It 's ruining it,positive
"So like , I can talk about Chris and he would know unless you retweeted me ? Hmm . None of the Chicago boys like me much , I think .",positive
There is so much 2 do I do n't feel like I 'm ready 2 leave yet . I 'm sooo gunna miss my boo-boos,positive
watching Being Humann oohh ive missed Mitchelll,positive
